Account ID Full,Account Name,Legal Name (BvD),Country,Region,Reporting Group,Ultimate Parent,Account Owner,Parent Account
0012000001WUVTvAAP,"ABLV Bank, AS",ABLV Bank AS,Latvia,EMEA,ABLV Bank,ABLV BANK AS,Fenergo RevOps,
0012000001WUVD9AAP,ABN AMRO Bank,ABN AMRO Bank N.V.,Netherlands,EMEA,ABN Amro,STICHTING ADMINISTRATIEKANTOOR CONTINUÏTEIT ABN AMRO BANK,Karthik Gurumoorthy,
0010O00002Ctra2QAB,ABN AMRO Bank N.V.,ABN AMRO Bank N.V.,Netherlands,EMEA,ABN Amro,STICHTING ADMINISTRATIEKANTOOR CONTINUÏTEIT ABN AMRO BANK,Alexander Hase,ABN AMRO Bank
001Ab000002rPGkIAM,abrdn,ABRDN plc,United Kingdom,EMEA,Aberdeen Group,ABERDEEN GROUP PLC,Fenergo RevOps,
0013X00002SX05zQAD,ABS,ABS Financial Pte. Ltd.,Singapore,APAC,ABS,ABS SYNERGY PTE. LTD.,Fenergo RevOps,
001Ab000002r8XTIAY,Absa,Absa Group Limited,South Africa,EMEA,Absa,ABSA GROUP LIMITED,Ian McLoughlin,
0012000001WUVuYAAX,Abu Dhabi Commercial Bank (ADCB),Abu Dhabi Commercial Bank,United Arab Emirates,EMEA,Abu Dhabi Commercial Bank,GOVERNMENT OF ABU DHABI,Ian McLoughlin,
0012000001WUVuZAAX,Abu Dhabi Global Market,ABU Dhabi Global Market,United Arab Emirates,EMEA,Abu Dhabi Global Market,GOVERNMENT OF ABU DHABI,Fenergo RevOps,
0012000001WUVuaAAH,Abu Dhabi Investment Council (ADIC),ABU Dhabi Investment Council Company P.J.S.C.,United Arab Emirates,EMEA,Abu Dhabi Investment Council,GOVERNMENT OF ABU DHABI,Fenergo RevOps,
0010O00002Bk4UbQAJ,Abu Dhabi Islamic Bank (ADIB),Abu Dhabi Islamic Bank - Public Joint Stock Co.,United Arab Emirates,EMEA,Abu Dhabi Islamic Bank,ABU DHABI ISLAMIC BANK - PUBLIC JOINT STOCK CO.,Fenergo RevOps,
0013X00003VjtAKQAZ,Abu Dhabi National Insurance CO (ADNIC),ABU Dhabi National Insurance Company,United Arab Emirates,EMEA,ADNIC,ABU Dhabi National Insurance Company,Fenergo RevOps,
001SZ000008Z5LCYA0,Abu Dhabi Ports,ABU Dhabi Ports Company Pjsc,United Arab Emirates,EMEA,Abu Dhabi Ports,GOVERNMENT OF ABU DHABI,Fenergo RevOps,
0010O000023gsUuQAI,Acadian Asset Management,Acadian Asset Management INC,United States,AMER,Acadian Asset Management,ACADIAN ASSET MANAGEMENT INC,Fenergo RevOps,
001Ab000003iSKkIAM,Acc Loan Management Ltd,ACCBank Plc,Ireland,EMEA,Acc Loan Management,ACCBank Plc,Fenergo RevOps,
0012000001WUVUgAAP,Accenture (GLOBAL),,United Kingdom,EMEA,Accenture,,Matt Edwards,
001Ab000002pFivIAE,Accenture Australia,,Australia,APAC,Accenture,,Niraj Marfatia,Accenture (GLOBAL)
0013X00002yO4G6QAK,Accenture Australia & New Zealand,,Australia,APAC,Accenture,,Niraj Marfatia,Accenture (GLOBAL)
