Account ID Full,Account Name,Legal Name (BvD),Country,Region,Reporting Group,Ultimate Parent,Account Owner,Parent Account
0012000001WUVTFAA5,CME Group,CME Group Inc,United States,AMER,CME Group,CME GROUP INC,Mick Furlong,
001Ab000002rNUIIA2,CMF,CM Financiera S.A.,Panama,AMER,CMF,CM Financiera S.A.,Fenergo RevOps,
001Ab000002LhjgIAC,CMS Legal Services EEIG,CMS Legal Services Eeig/Ewiv,Germany,EMEA,CMS Legal Services,CMS Legal Services Eeig/Ewiv,Fenergo RevOps,
0010O00002Pty4UQAR,CNB Bank,CNB Bank,United States,AMER,CNB Bank,CNB FINANCIAL CORPORATION,Fenergo RevOps,
001Ab000002rNklIAE,Cnova (Groupe Casino - Cdiscount),Cdiscount,France,EMEA,Cnova,EP EQUITY INVESTMENT S.À R.L.,Fenergo RevOps,
0013X00003J1joFQAR,CNP Assurances,CNP Assurances,France,EMEA,CNP Assurances,GOVERNMENT OF FRANCE,Fenergo RevOps,
001SZ00000BrOqfYAF,Coast Pay,K Dimensional Holdings INC,United States,AMER,Coast Pay,K DIMENSIONAL HOLDINGS INC,Fenergo RevOps,
001SZ0000076pcUYAQ,Coastal Community Bank,"Coastal Community Bank, Washington",United States,AMER,Coastal Community Bank,COASTAL FINANCIAL CORPORATION,Fenergo RevOps,
001SZ000008uORjYAM,Coatue Management,Coatue Management LLC,United States,AMER,Coatue Management,COATUE MANAGEMENT PARTNERS LP,Fenergo RevOps,
001Ab000002xRNdIAM,"CoBank, ACB","Cobank, ACB",United States,AMER,CoBank,FARM CREDIT SYSTEM (COMBINED),Ramin Mohammadi,
001Ab000002rNioIAE,Cobas Asset Management,Cobas Asset Management Sgiic SA.,Spain,EMEA,Cobas Asset Management,ESMELLE INVERSIONES SL.,Fenergo RevOps,
001Ab000002rNjXIAU,Cobee,Perk Finance SL.,Spain,EMEA,Cobee,PLUXEE N.V.,Fenergo RevOps,
001Ab000002P5BqIAK,Coda Payments,Coda Payments Pte. Ltd.,Singapore,APAC,Segno,SEGNO PTE. LTD.,Laurent Lamarlere,
0013X00003mNaWMQA0,Codensa,Enel Colombia S.A. E.S.P.,Colombia,AMER,Enel,ENEL SPA,Fenergo RevOps,ENEL Group
001Ab000003kktaIAA,Codere Online,Codere Online SA.,Spain,EMEA,Codere Online,CODERE NEW TOPCO S.A.,Fenergo RevOps,
001Ab000002yMZGIA2,Coelsa,Coelsa Y Asociados SRL,Argentina,AMER,Coelsa y Asociados,Coelsa Y Asociados SRL,Fenergo RevOps,
001SZ00000AevmfYAB,Coface,Coface SA,France,EMEA,Coface,COFACE SA,Fenergo RevOps,
001Ab000002rOwvIAE,Cofidis ?eská Republika,COFIDIS a.s.,Czech Republic,EMEA,Credit Mutuel,CAISSE FEDERALE DE CREDIT MUTUEL,Fenergo RevOps,Crédit Mutuel Asset Management
001Ab000002rNvkIAE,Cofidis España,Cofidis SA Sucursal en Espana.,Spain,EMEA,Credit Mutuel,CAISSE FEDERALE DE CREDIT MUTUEL,Fenergo RevOps,Crédit Mutuel Asset Management
001Ab000002rNhIIAU,Cofidis Group,Cofidis Group,France,EMEA,Credit Mutuel,CAISSE FEDERALE DE CREDIT MUTUEL,Fenergo RevOps,Crédit Mutuel Asset Management
001Ab000002rOPAIA2,Cofidis Italia,Cofidis Group,Italy,EMEA,Credit Mutuel,CAISSE FEDERALE DE CREDIT MUTUEL,Fenergo RevOps,Crédit Mutuel Asset Management
001Ab000002rOOzIAM,Cofidis Portugal,Cofidis,Portugal,EMEA,Credit Mutuel,CAISSE FEDERALE DE CREDIT MUTUEL,Fenergo RevOps,Crédit Mutuel Asset Management
001SZ000009f9NIYAY,Coforge NAM,,United States,AMER,Coforge NAM,,Nicole Gallant,
001SZ00000IKxw8YAD,Cogitate,"Cogitate Technology Solutions, Inc.",United States,AMER,Cogitate,"Cogitate Technology Solutions, Inc.",Fenergo RevOps,
0013X00003t1UyhQAE,Cognizant (GLOBAL),,United Kingdom,EMEA,Cognizant,,Richard Coveney,
001Ab000003ozWjIAI,Cognizant US,,United States,AMER,Cognizant,,Nicole Gallant,Cognizant (GLOBAL)
001SZ00000f47OHYAY,Cohen & Steers,,United States,AMER,Cohen & Steers,"COHEN & STEERS, INC.",Fenergo RevOps,
0010O000023gvQwQAI,Cohen & Steers Capital Management,"Cohen & Steers Capital Management, Inc.",United States,AMER,Cohen & Steers,"COHEN & STEERS, INC.",Fenergo RevOps,Cohen & Steers
001Ab000002rNeiIAE,COIMA SGR,Coima SGR S.P.A.,Italy,EMEA,COIMA SGR,DE PLATZ S.R.L.,Fenergo RevOps,
0010O00001uEDjmQAG,Coinbase,Coinbase Inc.,United States,AMER,Coinbase,"COINBASE GLOBAL, INC.",Fenergo RevOps,
001Ab000002rOCLIA2,Coinbits,Coinbits Inc.,United States,AMER,Coinbits,Coinbits Inc.,Fenergo RevOps,
001Ab000002rNmGIAU,CoinGate,UAB Decentralized,Lithuania,EMEA,CoinGate,UAB SUPRAPOSITION,Fenergo RevOps,
001Ab000002rNb7IAE,Coinhouse,Coinhouse,France,EMEA,Coinhouse,ARIZEN,Fenergo RevOps,
001Ab000002rNw3IAE,CoinLoan,Coinloan OU,Estonia,EMEA,CoinLoan,COINLOAN OU,Fenergo RevOps,
001Ab000002rNlJIAU,CoinMENA,Coinmena B.S.C Closed,Bahrain,EMEA,CoinMENA,Coinmena B.S.C Closed,Fenergo RevOps,
001Ab000002rORrIAM,Coinmerce,Coinmerce Group B.V.,Netherlands,EMEA,Coinmerce,Coinmerce Group B.V.,Fenergo RevOps,
001Ab000002rNfWIAU,CoinMetro,Coinmetro OU,Estonia,EMEA,CoinMetro,COINMETRO GROUP OU,Fenergo RevOps,
001Ab000002rNBFIA2,Coinmotion,Coinmotion Oy,Finland,EMEA,Coinmotion,COINMOTION OY,Fenergo RevOps,
001Ab000002rOHIIA2,Coinomi,Coinomi Holdings LTD,Cyprus,EMEA,Coinomi,Coinomi Holdings LTD,Fenergo RevOps,
001Ab000002sVZ7IAM,CoinShares,Coinshares (UK) Limited,United Kingdom,EMEA,CoinShares,Coinshares (UK) Limited,Fenergo RevOps,
001Ab000002rOxcIAE,CoinsPaid,Dream Finance OU,Estonia,EMEA,CoinsPaid,DREAM FINANCE OU,Fenergo RevOps,
001SZ000005ksiUYAQ,Colchester Global Investors,Colchester Global Investors Limited,United Kingdom,EMEA,Colchester Global Investors,COLCHESTER GLOBAL INVESTORS LIMITED,Fenergo RevOps,
001Ab000002rNLAIA2,Colibrix,Colibrix Limited,United Kingdom,EMEA,Colibrix,MELLIFERA HOLDING LIMITED,Fenergo RevOps,
0012000001WUVW3AAP,Colina Holdings Bahamas Limited*,Colina Holdings Bahamas Ltd,Bahamas,AMER,Colina Holdings Bahamas,AF HOLDINGS LTD,Fenergo RevOps,
001SZ000009qd3KYAQ,Collas Crill,Collas Crill,United Kingdom,EMEA,Collas Crill,Collas Crill,David Warnock,
001SZ00000KMZWiYAP,Collect-Group Holdings CY Ltd,Collect-Group Holdings CY LTD,Cyprus,EMEA,Collect-Group,Collect-Group Holdings CY LTD,Fenergo RevOps,
001Ab000002QiBAIA0,Coller Capital,Coller Capital Limited,United Kingdom,EMEA,Coller Capital,CICAP LIMITED,Nuala Kelly,
001SZ00000891y0YAA,Colliers International,Colliers International Group Inc.,Canada,AMER,Colliers International,COLLIERS INTERNATIONAL GROUP INC.,Fenergo RevOps,
001SZ000007CDMOYA4,Collins Aerospace,Collins Aerospace,United States,AMER,Collins Aerospace,Collins Aerospace,Jan Dinger,
001Ab000002rNNDIA2,Colmex Pro,Colmex PRO Limited,Cyprus,EMEA,Colmex Pro,TGL LIMITED,Fenergo RevOps,
001Ab000003jVCZIA2,Colmore,Colmore LLP,United Kingdom,EMEA,Colmore,Colmore LLP,Fenergo RevOps,
0013X00002PGYPJQA5,Colonial First State,Colonial First State Investments Limited,Australia,APAC,Colonial First State,KKR GROUP CO. INC.,Fenergo RevOps,Kohlberg Kravis Roberts & Co.
0013X00002PGaQxQAL,Colony Capital,Digitalbridge Group Inc,United States,AMER,Colony Capital,DIGITALBRIDGE GROUP INC,Fenergo RevOps,
0010O00002Pty4ZQAR,Columbia Bank,Columbia Bank (MHC),United States,AMER,Columbia Bank,Columbia Bank (MHC),Fenergo RevOps,
001Ab000002xS1yIAE,"Columbia Banking System, Inc.","Columbia Banking System, Inc",United States,AMER,Columbia Banking System,"COLUMBIA BANKING SYSTEM, INC",Fenergo RevOps,
0010O00002PeLcvQAF,Columbia Threadneedle Investments,Columbia Threadneedle Investments,United States,AMER,Ameriprise Financial,"AMERIPRISE FINANCIAL, INC.",Fenergo RevOps,Ameriprise Financial
001SZ00000MBpiTYAT,Column,Column A INC,United States,AMER,Column,COLUMN A INC,Fenergo RevOps,
0013X00003qQ87DQAS,Comarch (GLOBAL),,Poland,EMEA,Comarch,,Richard Coveney,
0013X00003pEaYqQAK,Comarch Spó?ka Akcyjna,,Poland,EMEA,Comarch Spoka Akcyjna,,Richard Coveney,Comarch (GLOBAL)
001Ab000002rOchIAE,COMECO,COMECO GmbH & Co. KG,Germany,EMEA,COMECO,COMECO GMBH & CO. KG,Fenergo RevOps,
0013X00002PGZOlQAP,Comenity,Comenity LLC,United States,AMER,Comenity,Comenity LLC,Fenergo RevOps,
001Ab000002xS1tIAE,Comenity Capital Bank,Comenity Capital Bank,United States,AMER,Comenity Capital Bank,BREAD FINANCIAL HOLDINGS INC,Fenergo RevOps,
001Ab000002rNBaIAM,ComeOn!,Comeon Sweden LTD,Malta,EMEA,ComeOn!,BRIDGEPOINT OP LP,Fenergo RevOps,
001Ab000002rNu9IAE,COMERCIA GLOBAL PAYMENTS,"Comercia Global Payments, Entidad de Pago SL.",Spain,EMEA,Global Payments,GLOBAL PAYMENTS INC,Fenergo RevOps,Global Payments
0012000001WUVDOAA5,Comerica Bank,Comerica Bank,United States,AMER,Comerica Bank,COMERICA INCORPORATED,Craig Grootenboer,
001Ab000002rOEtIAM,ComGate Payments,Comgate a.s.,Czech Republic,EMEA,ComGate Payments,CGX A.S.,Fenergo RevOps,
0010O000023gvt0QAA,Comgest,S A Comgest,France,EMEA,Comgest,S A Comgest,Fenergo RevOps,
0010O00002PxgljQAB,Commerce Bank,Commerce Bank,United States,AMER,Commerce Bank,"COMMERCE BANCSHARES, INC.",Fenergo RevOps,
001SZ000008uORWYA2,Commerce Trust,Commerce Trust CO,United States,AMER,Commerce Trust,Commerce Trust CO,Fenergo RevOps,
001Ab000002rNdNIAU,CommerceGate,Commercegate Spain SL,Spain,EMEA,CommerceGate,COMMERCEGATE HOLDING LTD,Fenergo RevOps,
001SZ00000MFOJuYAP,CommerceWest Bank,CommerceWest Bank,United States,AMER,CommerceWest Bank,CW BANCORP,Fenergo RevOps,
001Ab000002uOdFIAU,Commercial Bank International UAE,Commercial Bank International P.S.C.,United Arab Emirates,EMEA,CBI (Commercial Bank International),COMMERCIAL BANK INTERNATIONAL P.S.C.,Fenergo RevOps,
0010O00002LzdLjQAJ,Commercial Bank Of Dubai (P.S.C.),Commercial Bank of Dubai P.S.C.,United Arab Emirates,EMEA,Commercial Bank of Dubai,COMMERCIAL BANK OF DUBAI P.S.C.,Fenergo RevOps,
001Ab000002xTPJIA2,COMMERCIAL BANK of ETHIOPIA,Commercial Bank of Ethiopia,Ethiopia,EMEA,Commercial Bank of Ethiopia,THE FEDERAL DEMOCRATIC REPUBLIC OF ETHIOPIA GOVERNMENT (REPRESENTED BY MESAY AYALEW BEDAD),Ian McLoughlin,
001Ab000002xRM3IAM,COMMERCIAL BANK of KUWAIT K.P.S.C. (THE),Commercial Bank of Kuwait K.P.S.C. (The),Kuwait,EMEA,Commercial Bank of Kuwait,COMMERCIAL BANK OF KUWAIT K.P.S.C. (THE),Fenergo RevOps,
0013X00002SCcZKQA1,Commercial Bank Qatar,The Commercial Bank (PQSC),Qatar,EMEA,Commercial Bank Qatar,THE COMMERCIAL BANK (PQSC),Fenergo RevOps,
001Ab000002xRLnIAM,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,Commercial International Bank (Egypt) S.A.E.,Egypt,EMEA,Commercial International Bank Egypt,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,Fenergo RevOps,
001Ab000002Zl7JIAS,Commerz Trade Services Sdn. Bhd.,Commerz Global Service Solutions Sdn. Bhd.,Malaysia,APAC,Commerzbank,COMMERZBANK AG,Fenergo RevOps,Commerzbank AG
0012000001WUYFrAAP,Commerzbank AG,Commerzbank AG,Germany,EMEA,Commerzbank,COMMERZBANK AG,Alexander Hase,
0010O000027scLyQAI,Commerzbank AG,Commerzbank AG,Germany,EMEA,Commerzbank,COMMERZBANK AG,Fenergo RevOps,Commerzbank AG
001SZ00000MSuLxYAL,Commonwealth Bank [Bahamas],Commonwealth Bank Ltd,Bahamas,AMER,Commonwealth Bank,Commonwealth Bank Ltd,Fenergo RevOps,
0010O00002PeLd4QAF,Commonwealth Financial Network,"Commonwealth Equity Services, LLC",United States,AMER,Commonwealth Financial Network,"GRATITUDE HOLDINGS, INC.",Fenergo RevOps,
001SZ000007CDLcYAO,CommScope,CS Credit Union,United States,AMER,CommScope,CS Credit Union,Jan Dinger,
001Ab000002xTPkIAM,"Community Bank System, Inc.","Community Financial System, Inc.",United States,AMER,Community Bank System,"COMMUNITY FINANCIAL SYSTEM, INC.",Fenergo RevOps,
0013X00002leOH7QAM,Community Federal Savings Bank,Community Federal Savings,United States,AMER,Community Federal Savings Bank,COMMUNITY FEDERAL SAVINGS BANK,Fenergo RevOps,
0010O00002Pty4lQAB,"Community Trust Bank, Inc.","Community Trust Bank, Inc",United States,AMER,Community Trust Bank,"COMMUNITY TRUST BANCORP, INC",Fenergo RevOps,
0010O000026P1RnQAK,Compass,Compass Group Holdings Inc.,United States,AMER,Compass,COMPASS GROUP HOLDINGS INC.,Fenergo RevOps,
001Ab000002rNrLIAU,Compass Banca S.p.A. - Gruppo Mediobanca,Compass Banca SpA,Italy,EMEA,Mediobanca,MEDIOBANCA - BANCA DI CREDITO FINANZIARIO SOCIETÀ PER AZIONI,Fenergo RevOps,Mediobanca
001Ab000002rNfCIAU,Compay,Compay GmbH,Germany,EMEA,Compay,IDEAWISE LIMITED,Fenergo RevOps,
0013X00002RdUepQAF,ComplianceAsia Consulting Limited,IQ EQ Regulatory Compliance (HK) Limited,Hong Kong,APAC,ComplianceAsia Consulting,LOGOS TF,Fenergo RevOps,IQ-EQ
0013X00002xJMCyQAO,Compostela Ventures,,United States,AMER,Compostela Ventures,Compostela Ventures,Fenergo RevOps,
0013X00002cvAPAQA2,Computershare,Computershare Limited,United Kingdom,EMEA,Computershare,COMPUTERSHARE LIMITED,David Warnock,
001SZ00000NfsFRYAZ,Comvest Partners,"Comvest Capital II Partners, L.P.",United States,AMER,Comvest Partners,COMVEST GROUP GP LLC,Fenergo RevOps,
0013X00002qRM3dQAG,Concentra Bank,Concentra Bank,Canada,AMER,Concentra Bank,EQB INC.,Fenergo RevOps,
001Ab000003m5oTIAQ,Conduit Re,Conduit Holdings Limited,Bermuda,AMER,Conduit Re,CONDUIT HOLDINGS LIMITED,Fenergo RevOps,
001Ab000002viCyIAI,Conekta,Arquitectura en Informacion Tecnologica SA de CV,Mexico,AMER,Conekta,Arquitectura en Informacion Tecnologica SA de CV,Fenergo RevOps,
001Ab000003ZoLtIAK,Conexim,Conexim Advisors Limited,Ireland,EMEA,Conexim,PANSOLO HOLDING INC,Fenergo RevOps,
001Ab000002rNe6IAE,CONFIDARE S.C.P.A.,Confidare S.C.P.A.,Italy,EMEA,Confidare,CONFIDARE S.C.P.A.,Fenergo RevOps,
001Ab000002rNBcIAM,ConfidiSystema!,Confidi Systema,Italy,EMEA,ConfidiSystema,Confidi Systema,Fenergo RevOps,
001SZ0000078GD4YAM,Congress Asset Management,Congress Asset Management Company LLP,United States,AMER,Congress Asset Management,LAGAN HOLDING COMPANY TRUST,Fenergo RevOps,
001Ab0000031ohtIAA,Connective Payments,Connective Payments B.V.,Netherlands,EMEA,Connective Payments,Connective Payments B.V.,Elaine Zhang,
0010O00002M1HFxQAN,ConnectOne Bank,ConnectOne Bank,United States,AMER,ConnectOne Bank,CONNECTONE BANCORP INC,Fenergo RevOps,
001Ab000002rNkuIAE,ConnectPay,UAB Connectpay,Lithuania,EMEA,ConnectPay,UAB CONNECTPAY,Fenergo RevOps,
001Ab000002rOY4IAM,ConnexPay,Connexpay,United States,AMER,ConnexPay,Connexpay,Fenergo RevOps,
0013X00002PGZ9MQAX,Conning Asset Management,Conning Asset Management,United States,AMER,Conning Asset Management,Conning Asset Management,Fenergo RevOps,
001SZ000007CDKCYA4,ConocoPhillips,Conocophillips,United States,AMER,ConocoPhillips,CONOCOPHILLIPS,Fenergo RevOps,
001Ab000003k2pMIAQ,Consalty,,Germany,EMEA,Consalty,,Richard Coveney,
001SZ00000BfWwuYAF,Consello,Consello LLC,United States,AMER,Consello,CONSELLO LLC,Fenergo RevOps,
001SZ000007CDLvYAO,Constellium,Constellium W,France,EMEA,Constellium,Constellium W,Fenergo RevOps,
001SZ00000GBOkKYAX,Constrafor,"Constrafor, Inc.",United States,AMER,Constrafor,CONSTRAFOR INC,Fenergo RevOps,
0013X00003bM7DOQA0,Consultant - Superannuation & Wealth,,Australia,APAC,Consultant ? Superannuation & Wealth,Consultant - Superannuation & Wealth,Fenergo RevOps,
001SZ000007CDKpYAO,Consumers Energy,Consumers Energy CO,United States,AMER,Consumers Energy,CMS ENERGY CORPORATION,Jan Dinger,
001Ab000003kTC9IAM,Continia,Continia Software A/S,Denmark,EMEA,Continia,CONTINIA TOPCO APS,Fenergo RevOps,
001Ab000002rOFsIAM,Contomobile,Contomobile UAB,Lithuania,EMEA,Contomobile,Contomobile UAB,Fenergo RevOps,
001Ab000002dcXTIAY,Convera,Convera Lithuania UAB,Lithuania,EMEA,Convera,CONVERA INTERNATIONAL HOLDINGS LIMITED,Fenergo RevOps,
001SZ00000KLKl3YAH,Converse Bank CJSC,Converse Bank Corporation CSJC,Armenia,EMEA,Converse Bank,ADVANCED GLOBAL INVESTMENTS LTD,Fenergo RevOps,
001Ab000003jxxvIAA,Conyers,Conyers Dill & Pearman Limited,United Kingdom,EMEA,Conyers,Conyers Dill & Pearman Limited,David Warnock,
001Ab000002rNvNIAU,Coop Pank AS,Coop Pank AS,Estonia,EMEA,Coop Pank,COOP PANK AS,Fenergo RevOps,
001Ab000002b1z2IAA,Coöperatieve Rabobank U.A - T/A Rabobank Dublin,Cooperatieve Rabobank U.A.,Netherlands,EMEA,Rabobank,COOPERATIEVE RABOBANK U.A.,Sean Moore,Rabobank
001Ab000002rOF0IAM,Cooperative Bank Of Chania,Cooperative Bank of Chania Syn. P.E.,Greece,EMEA,Cooperative Bank of Chania,Cooperative Bank of Chania Syn. P.E.,Fenergo RevOps,
001Ab000002rOP0IAM,Copernicus Spain,Copernicus Servicing SL.,Spain,EMEA,Copernicus Spain,GANIMEDES INVESTMENTS SL,Fenergo RevOps,
0013X00003sZiDMQA0,Copper.co,Copper Technologies (UK) Limited,United Kingdom,EMEA,Copper,COPPER TECHNOLOGIES (UK) LIMITED,Nuala Kelly,
0013X000034geaxQAA,Coralisle Group,Coralisle Group Ltd,Bermuda,AMER,Coralisle Group,EDMUND GIBBONS LIMITED,Fenergo RevOps,
001SZ0000084W1VYAU,CoralPay,Coralpay Technology (Nigeria) Limited,Nigeria,EMEA,CoralPay,Coralpay Technology (Nigeria) Limited,Fenergo RevOps,
001Ab000002sNDEIA2,Core Fund Services (Guernsey) Limited,Core Fund Services (Guernsey) Limited,United Kingdom,EMEA,Core Fund Services,Core Fund Services (Guernsey) Limited,David Warnock,
001SZ00000BDdRvYAL,Corebridge Financial,Corebridge Financial,United States,AMER,Corebridge Financial,Corebridge Financial,Fenergo RevOps,
001Ab000002rNH4IAM,COREDO,RES JUDICATA s.r.o.,Czech Republic,EMEA,COREDO,RES JUDICATA S.R.O.,Fenergo RevOps,
001SZ00000HPplaYAD,Corefirst Bank & Trust,Corefirst Bank & Trust,United States,AMER,CoreFirst Bank & Trust,COREFIRST BANK & TRUST,David Harper,
001Ab000002rNjPIAU,Coriunder,Coriunder Limited,Cyprus,EMEA,Coriunder,Coriunder Limited,Fenergo RevOps,
001SZ00000BfssXYAR,"Cormark Securities, Inc",Cormark Securities Inc,Canada,AMER,Cormark Securities,Cormark Securities Inc,Fenergo RevOps,
001Ab000002rOtFIAU,Cornèr Banca SA,Corner Banca SA,Switzerland,EMEA,Corpendius AG,CORPENDIUS AG,Fenergo RevOps,
001Ab000003noo4IAA,Cornerstone Bank,Cornerstone Bank,United States,AMER,Cornerstone Bank,FIRST YORK BAN CORP.,Fenergo RevOps,
001Ab000003mXVgIAM,Cornerstone Fund Services,Cornerstone Fund Services LLC,United States,AMER,Cornerstone Fund Services,Cornerstone Fund Services LLC,David Warnock,
001SZ0000078GCpYAM,CornerStone Partners,Cornerstone Partners LLC,United States,AMER,CornerStone Partners,CORNERSTONE PARTNERS LLC,Fenergo RevOps,
0010O000023gvZoQAI,Coronation Fund Managers,Coronation Fund Managers Limited,South Africa,EMEA,Coronation Fund Managers,CORONATION FUND MANAGERS LIMITED,Fenergo RevOps,
001Ab000002rP0KIAU,Corpag,Corpag Services (Netherlands) B.V.,Netherlands,EMEA,Corpag,CORPAG HOLDING B.V.,David Warnock,
0013X00003wpz9CQAQ,Corpay,Corpay INC,United States,AMER,Corpay,CORPAY INC,Fenergo RevOps,
001SZ00000Bc6hIYAR,Corpay Fund Services,Corpay INC,Luxembourg,EMEA,Corpay,CORPAY INC,David Warnock,
001Ab000002rOIeIAM,Corporación Multi Inversiones,Multi Inversiones,Guatemala,AMER,Corporacion Multi Inversiones,Multi Inversiones,Fenergo RevOps,
001Ab000002xRvlIAE,Corporate One Federal Credit Union,Corporate ONE Federal Credit Union INC,United States,AMER,Corporate One FCU,CORPORATE ONE FEDERAL CREDIT UNION INC,Fenergo RevOps,
001Ab000002rP5MIAU,Corporate Solutions group,Corporate Solutions INC,India,APAC,Corporate Solutions,Corporate Solutions INC,Fenergo RevOps,
001Ab000002xNfdIAE,Correos Fintech,,Spain,EMEA,Correos Fintech,Correos Fintech,Fenergo RevOps,
001SZ00000EghV7YAJ,Corvus,Corvus Administration Limited,United Kingdom,EMEA,Corvus,Corvus Administration Limited,David Warnock,
001Ab000002rOJgIAM,Cosmote payments,Cosmote Payments - Electronic Money Services Single Member S.A.,Greece,EMEA,Deutsche Telekom,DEUTSCHE TELEKOM AG,Fenergo RevOps,
001SZ0000083ZflYAE,Costco Wholesale Corp,Costco Wholesale Corporation,United States,AMER,Costco,COSTCO WHOLESALE CORPORATION,Fenergo RevOps,
001Ab000002rOoVIAU,Coupa,Coupa Software Incorporated,United States,AMER,Thoma Bravo East,"THOMA BRAVO EAST, LLC",Fenergo RevOps,Thoma Bravo
0012000001WUUicAAH,Coutts,RBS Asset Management Holdings,United Kingdom,EMEA,Coutts,NATWEST GROUP PLC,Fenergo RevOps,Natwest Group
001Ab000002rO4BIAU,Covéa Insurance,Covea Insurance PLC,United Kingdom,EMEA,Covea Insurance,Covea Insurance PLC,Fenergo RevOps,
001Ab000002rOBjIAM,Coventry Building Society,Coventry Building Society,United Kingdom,EMEA,Coventry Building Society,COVENTRY BUILDING SOCIETY,Fenergo RevOps,
001SZ00000N2mT8YAJ,Coveo,Coveo Solutions INC,Canada,AMER,Coveo,COVEO SOLUTIONS INC,Fenergo RevOps,
001Ab000002rNNRIA2,Coverflex,"Universal Cover, S.A.",Portugal,EMEA,Coverflex,"UNIVERSAL COVER, S.A.",Fenergo RevOps,
0012000001WUUllAAH,"Cowen & Company, Llc.","Cowen and Company, LLC",United States,AMER,Cowen & Company,TORONTO DOMINION BANK,Fenergo RevOps,
001SZ000007CDLdYAO,Cox Communications,"COX Communications, LLC",United States,AMER,Cox Communications,COX ENTERPRISES PAC (COXPAC) INC.,Jan Dinger,
001SZ00000L8rz9YAB,CPI Card Group,CPI Card Group Inc.,United States,AMER,CPI Card Group,CPI CARD GROUP INC.,Fenergo RevOps,
001Ab000002rNn8IAE,CPP CityPoste Payment (license withdrawn - acquired by Mooney),Cityposte Payment S.P.A.,Italy,EMEA,CPP CityPoste,Cityposte Payment S.P.A.,Fenergo RevOps,
0010O00001oKMy1QAG,CPP Investment Board,Canada Pension Plan Investment Board,Canada,AMER,CPPIB,THE GOVERNMENT OF CANADA,Fenergo RevOps,
0010O000023gvXiQAI,CPR Asset Management,CPR Asset Management,France,EMEA,CPR Asset Management,SAS RUE LA BOETIE,Fenergo RevOps,Credit Agricole
001SZ000007CDKqYAO,CPS Energy,CPS Energy,United States,AMER,CPS Energy,CPS ENERGY,Jan Dinger,
001SZ00000B14JRYAZ,Craft Ventures,"Craft Ventures II, L.P.",United States,AMER,Craft Ventures,"CRAFT VENTURES II, L.P.",Fenergo RevOps,
001Ab000003MuIDIA0,Craigs Investment Partners,Craigs Investment Partners Limited,New Zealand,APAC,Craigs Investment Partners,CIP HOLDINGS LIMITED,Eoin Keating,
001SZ000007CDMPYA4,Crane Aerospace & Electronics,Crane Aerospace & Electronics,United States,AMER,Crane Aerospace,CRANE COMPANY,Jan Dinger,
001Ab000002rNbaIAE,Creacard,Creacard,France,EMEA,Creacard,SOLUTIONS & PAYMENTS,Fenergo RevOps,
001Ab000002xRpdIAE,Crealsa NeoBank,Crealsa Investments Spain Sociedad Anonima.,Spain,EMEA,Crealsa,Crealsa Investments Spain Sociedad Anonima.,Fenergo RevOps,
001Ab000002rOxSIAU,Creand Wealth & Securities,Banque de Patrimoines Prives,Luxembourg,EMEA,Creand Wealth,Banque de Patrimoines Prives,David Warnock,
001Ab000003etptIAA,Creand Wealth Management (Banco Alcalá S.A.,Banco Alcala,Spain,EMEA,Credit Andorra,CREDIT ANDORRA SA,Fenergo RevOps,CREDIT ANDORRA
001SZ00000Grt0QYAR,Creative Planning,Creative Planning INC,United States,AMER,Creative Planning,CREATIVE PLANNING INC,Fenergo RevOps,
0013X00002eqLFbQAM,Creativemass (GLOBAL),,,AMER,Creativemass,,Nicole Gallant,
001Ab000002SMfzIAG,Credem,Credito Emiliano SpA,Italy,EMEA,Credito Emiliano,CREDITO EMILIANO HOLDING,Fenergo RevOps,
001SZ00000FqngmYAB,Credem Euromobiliare Private Banking,Credem - Euromobiliare Private Banking S.P.A.,Italy,EMEA,Credito Emiliano,CREDITO EMILIANO HOLDING,Fenergo RevOps,Credem
0013X00003vGBDyQAO,Credibanco,Credibanco S A,Colombia,AMER,Credibanco,CREDIBANCO S A,Fenergo RevOps,
001Ab000002xRudIAE,Credibly,Retail Capital LLC,United States,AMER,Credibly,Retail Capital LLC,Fenergo RevOps,
001Ab000002rNksIAE,Credifarma (Banca IFIS),Banca Ifis SpA,Italy,EMEA,Credifarma,LA SCOGLIERA SA,Fenergo RevOps,
0013X00003VjewAQAR,Credifinanciera,Creditos y Ahorro CREDIFINANCIERA S.A. Compania de Financiamiento,Colombia,AMER,Credifinanciera,Creditos y Ahorro CREDIFINANCIERA S.A. Compania de Financiamiento,Fenergo RevOps,
001SZ00000NRtWEYA1,Credigy,,Uruguay,AMER,Credigy,Credigy,Fenergo RevOps,
001SZ00000Am083YAB,CrediMax,Credimax LLC,United States,AMER,CrediMax,Credimax LLC,Fenergo RevOps,
0013X00003wyhN1QAI,Credimi,Instapartners S.R.L. IN Liquidazione,Italy,EMEA,Credimi,Instapartners S.R.L. IN Liquidazione,Fenergo RevOps,
001SZ0000083B0jYAE,CREDINS BANK,Credins Bank Sh.A,Albania,EMEA,Credins Bank,CREDINS BANK SH.A,Fenergo RevOps,
